tract_id,city,ml_rank_score,demand_tier,pct_area_ev_permitted,pct_area_commercial,pct_area_industrial,pct_area_residential,dominant_zone_category,feasibility_score,data_confidence,computed_at
36081069701,"FLUSHING, NY",0.0149,Low,0.0,0.0,0.0,1.0,Residential,0.0045,High,2026-03-09T21:25:04.445467+00:00
36081070700,"FLUSHING, NY",0.01,Low,0.0,0.0,0.0,0.999,Residential,0.003,High,2026-03-09T22:03:48.383016+00:00
36081070900,"FLUSHING, NY",0.0105,Low,0.0,0.0,0.0,1.0,Residential,0.0032,High,2026-03-09T21:58:45.417182+00:00
36081071303,"FLUSHING, NY",0.023,Low,0.0,0.0,0.0,1.0,Residential,0.0069,High,2026-03-09T20:36:27.274414+00:00
36081071304,"FLUSHING, NY",0.0233,Low,0.0,0.0,0.0,0.9809,Residential,0.007,High,2026-03-09T20:35:30.757063+00:00
36081071305,"FLUSHING, NY",0.018,Low,0.0,0.0,0.0,1.0,Residential,0.0054,High,2026-03-09T21:00:57.803590+00:00
36081071306,"FLUSHING, NY",0.0252,Low,0.0,0.0,0.0,1.0,Residential,0.0076,High,2026-03-09T20:27:43.665855+00:00
36081071701,"FLUSHING, NY",0.0142,Low,0.2966,0.2966,0.0,0.7034,Residential,0.2119,High,2026-03-09T21:30:21.401364+00:00
36081071900,"FLUSHING, NY",0.0127,Low,0.0,0.0,0.0,0.9325,Residential,0.0038,High,2026-03-09T21:42:22.462943+00:00
36081072100,"FLUSHING, NY",0.0172,Low,0.0,0.0,0.0,1.0,Residential,0.0052,High,2026-03-09T21:08:47.052569+00:00
36081072900,"FLUSHING, NY",0.0081,Low,0.0,0.0,0.0,1.0,Residential,0.0024,High,2026-03-09T22:22:57.713281+00:00
36081073100,"FLUSHING, NY",0.0083,Low,0.0,0.0,0.0,1.0,Residential,0.0025,High,2026-03-09T22:20:51.635674+00:00
36081073900,"FLUSHING, NY",0.0141,Low,0.0,0.0,0.0,1.0,Residential,0.0042,High,2026-03-09T21:31:26.172478+00:00
36081074100,"FLUSHING, NY",0.0111,Low,0.0,0.0,0.0,1.0,Residential,0.0033,High,2026-03-09T21:52:37.107041+00:00
36081074300,"FLUSHING, NY",0.013,Low,0.014,0.014,0.0,0.986,Residential,0.0137,High,2026-03-09T21:41:04.474708+00:00
36081074500,"FLUSHING, NY",0.0124,Low,0.0,0.0,0.0,1.0,Residential,0.0037,High,2026-03-09T21:44:37.319838+00:00
36081075702,"FLUSHING, NY",0.0125,Low,0.0,0.0,0.0,1.0,Residential,0.0038,High,2026-03-09T21:43:47.053750+00:00
36081076902,"FLUSHING, NY",0.008,Low,0.1054,0.1054,0.0,0.8946,Residential,0.0762,High,2026-03-09T22:22:52.713408+00:00
36081077907,"FLUSHING, NY",0.0097,Low,0.0,0.0,0.0,1.0,Residential,0.0029,High,2026-03-09T22:05:28.356774+00:00
